0t 1p
12.581046 0.0
12.601048 0.0
12.62105 0.0
12.64105 0.0
12.66105 0.0
12.681051 0.0
12.701054 0.0
12.721058 0.0
12.74106 0.0
12.761064 0.0
12.781068 0.0
12.801069 0.0
12.82107 0.0
12.84107 0.0
12.861074 0.0
12.881076 0.0
12.901079 0.0
12.92108 0.634759076827
12.941083 0.634759076827
12.96109 0.634759076827
12.981093 0.634759076827
13.001093 0.634759076827
13.044987 0.634759076827
13.064991 0.634759076827
13.084991 0.634759076827
13.104994 0.634759076827
13.124996 0.634759076827
13.144996 0.634759076827
13.164996 0.634759076827
13.185001 0.634759076827
13.205003 0.634759076827
13.225003 0.634759076827
13.245007 0.634759076827
13.265007 0.634759076827
13.285008 0.634759076827
13.305013 0.634759076827
13.325013 0.634759076827
13.345016 0.634759076827
13.365019 0.634759076827
13.385022 0.634759076827
13.405023 0.634759076827
13.425023 0.634759076827
13.445023 0.634759076827
13.465023 0.634759076827
13.485023 0.634759076827
13.505027 0.634759076827
13.525032 0.634759076827
13.545035 0.634759076827
13.565039 0.634759076827
13.585039 0.634759076827
13.605039 0.634759076827
13.625039 0.634759076827
13.645039 0.634759076827
13.665039 0.634759076827
13.685039 0.634759076827
13.705042 0.634759076827
13.725042 0.634759076827
13.745042 0.634759076827
13.765044 0.634759076827
13.785048 0.0
13.80505 0.0
13.82505 0.0
13.84505 0.0
13.86505 0.0
13.88505 0.0
13.905052 0.0
13.925055 0.0
13.945055 0.0
13.965055 0.0
13.985055 0.0
14.005057 0.0
14.046003 0.0
14.066006 0.0
14.086007 0.0
14.10601 0.0
14.126013 0.0
14.146017 0.0
14.166018 0.0
14.186018 0.0
14.206018 0.0
14.226021 0.0
14.246024 0.0
14.266027 0.0
14.286029 0.0
14.306029 0.0
14.326031 0.0
14.346034 0.0
14.366034 0.0
14.386037 0.0
14.406039 0.0
14.426042 0.0
14.446045 0.0
14.46605 0.0
14.48605 0.0
14.506054 0.0
14.526054 0.0
14.546058 0.0
14.56606 0.0
14.586065 0.0
14.606065 0.0
14.626069 0.0
14.64607 0.0
14.666071 0.0
14.686071 0.0
14.706071 0.0
14.726075 0.0
14.746076 0.0
14.76608 0.777898502718
14.786082 0.777898502718
14.806082 0.777898502718
14.826082 0.777898502718
14.846085 0.777898502718
14.866091 0.777898502718
14.886095 0.777898502718
14.906098 0.777898502718
14.926099 0.777898502718
14.9461 0.777898502718
14.966101 0.777898502718
14.986103 0.777898502718
15.006105 0.777898502718
15.047001 0.777898502718
15.067005 0.777898502718
15.087007 0.777898502718
15.107008 0.777898502718
15.127012 0.777898502718
15.147012 0.777898502718
15.167017 0.777898502718
15.187017 0.777898502718
15.207017 0.777898502718
15.227018 0.777898502718
15.247018 0.777898502718
15.267019 0.777898502718
15.287022 0.777898502718
15.307023 0.777898502718
15.327023 0.777898502718
15.347027 0.777898502718
15.367028 0.777898502718
15.38703 0.0
15.407034 0.0
15.427034 0.0
15.447035 0.0
15.467039 0.0
15.487039 0.0
15.507042 0.0
15.527043 0.0
15.547048 0.0
15.567049 0.0
15.587053 0.0
15.607055 0.0
15.627055 0.0
15.647055 0.0
15.667059 0.0
15.687061 0.0
15.707062 0.0
15.727066 0.0
15.747066 0.0
15.767066 0.0
15.787066 0.0
15.807066 0.0
15.827066 0.0
15.847066 0.0
15.867066 0.0
15.88707 0.0
15.907074 0.0
15.927078 0.0
15.947082 0.0
15.967083 0.0
15.987086 0.0
16.007087 0.0
16.048 0.0
16.068002 0.0
16.088003 0.0
16.108006 0.0
16.128006 0.0
16.14801 0.0
16.168012 0.0
16.188017 0.0
16.208018 0.0
16.228018 0.0
16.248022 0.0
16.268023 0.0
16.288027 0.0
16.308031 0.0
16.328034 0.0
16.348034 0.0
16.368038 0.0
16.388039 0.0
16.408042 0.0
16.428044 0.0
16.448044 0.0
16.468044 0.0
16.488045 0.0
16.508045 0.0
16.528046 0.0
16.54805 0.0
16.56805 0.0
16.58805 0.0
16.60805 0.0
16.628053 0.0
16.648058 0.0
16.668058 0.0
16.68806 0.0
16.70806 0.0
16.728065 0.0
16.748069 0.693763086063
16.768071 0.693763086063
16.788071 0.693763086063
16.808074 0.693763086063
16.828077 0.693763086063
16.848082 0.693763086063
16.868086 0.693763086063
16.888092 0.693763086063
16.908095 0.693763086063
16.928095 0.693763086063
16.948095 0.693763086063
16.968098 0.693763086063
16.9881 0.693763086063
17.008101 0.693763086063
17.049002 0.693763086063
17.069002 0.693763086063
17.089002 0.693763086063
17.109002 0.693763086063
17.129003 0.693763086063
17.149005 0.693763086063
17.169007 0.693763086063
17.189007 0.693763086063
17.209007 0.0
17.229007 0.0
17.249011 0.0
17.269012 0.0
17.289015 0.0
17.309019 0.0
17.329023 0.0
17.349023 0.0
17.369023 0.0
17.389023 0.0
17.409026 0.0
17.429026 0.0
17.449027 0.0
17.469031 0.0
17.489035 0.0
17.509039 0.0
17.529039 0.0
17.549039 0.0
17.569039 0.0
17.589039 0.0
17.609042 0.0
17.629044 0.0
17.649045 0.0
17.669046 0.0
17.689049 0.0
17.709053 0.0
17.729055 0.0
17.749057 0.0
17.76906 0.0
17.789062 0.0
17.809067 0.0
17.829071 0.0
17.849075 0.0
17.869076 0.0
17.889077 0.0
17.909082 0.0
17.929087 0.0
17.949093 0.0
17.969095 0.0
17.989098 0.0
18.009102 0.0
18.049996 0.0
18.070001 0.0
18.090002 0.0
18.110002 0.0
18.146479 0.0
18.166479 0.0
18.186482 0.0
18.206484 0.0
18.226484 0.0
18.246485 0.0
18.26649 0.0
18.28649 0.0
18.30649 0.0
18.326495 0.0
18.346495 0.0
18.366495 0.0
18.386496 0.0
18.4065 0.0
18.4265 0.0
18.4465 0.0
18.466501 0.0
18.486501 0.0
18.506506 0.0
18.526506 0.0
18.54651 0.0
18.566511 0.0
18.586511 0.0
18.606511 0.0
18.626511 0.0
18.646511 0.0
18.666511 0.0
18.686514 0.0
18.706516 0.0
18.726521 0.801989388774
18.746521 0.801989388774
18.766523 0.801989388774
18.786524 0.801989388774
18.806527 0.801989388774
18.826528 0.801989388774
18.846532 0.801989388774
18.866533 0.801989388774
18.886537 0.801989388774
18.906537 0.801989388774
18.926538 0.801989388774
18.946538 0.801989388774
18.966538 0.801989388774
18.986538 0.801989388774
19.006542 0.801989388774
19.047003 0.801989388774
19.067003 0.801989388774
19.087007 0.801989388774
19.10701 0.801989388774
19.12701 0.801989388774
19.147013 0.801989388774
19.167013 0.801989388774
19.187017 0.801989388774
19.207018 0.801989388774
19.227018 0.801989388774
19.247018 0.801989388774
19.26702 0.801989388774
19.287023 0.801989388774
19.307023 0.801989388774
19.327023 0.801989388774
19.347023 0.801989388774
19.367025 0.801989388774
19.387028 0.801989388774
19.407028 0.801989388774
19.427029 0.801989388774
19.447031 0.801989388774
19.467034 0.801989388774
19.487039 0.801989388774
19.507039 0.801989388774
19.52704 0.801989388774
19.547041 0.801989388774
19.567043 0.801989388774
19.587048 0.801989388774
19.607052 0.801989388774
19.627055 0.801989388774
19.647055 0.801989388774
19.667057 0.801989388774
19.687057 0.0
19.707061 0.0
19.727062 0.0
19.747064 0.0
19.767068 0.0
19.787071 0.0
19.807071 0.0
19.827071 0.0
19.847075 0.0
19.867076 0.0
19.887076 0.0
19.907076 0.0
19.927079 0.0
19.947082 0.0
19.967082 0.0
19.987082 0.0
20.007084 0.0
20.048 0.0
20.068002 0.0
20.088002 0.0
20.108002 0.0
20.128005 0.0
20.148007 0.0
20.168007 0.0
20.188007 0.0
20.208007 0.0
20.228007 0.0
20.248007 0.0
20.268011 0.0
20.288016 0.0
20.308018 0.0
20.328019 0.0
20.348019 0.0
20.368019 0.0
20.388023 0.0
20.408023 0.0
20.428023 0.0
20.448026 0.0
20.46803 0.0
20.48803 0.0
20.508034 0.0
20.528034 0.0
20.548038 0.0
20.568039 0.0
20.588042 0.0
20.608044 0.0
20.628045 0.0
20.64805 0.0
20.66805 0.0
20.68805 0.0
20.70805 0.0
20.72805 0.0
20.748055 0.0
20.768055 0.0
20.788055 0.0
20.808055 0.0
20.828059 0.0
20.84806 0.0
20.86806 0.0
20.88806 0.0
20.908064 0.0
20.928065 0.0
20.948067 0.0
20.968072 0.0
20.988077 0.0
21.008081 0.0
21.048988 0.0
21.068988 0.0
21.088993 0.0
21.108995 0.0
21.128995 0.0
21.148997 0.0
21.169001 0.0
21.189001 0.0
21.209002 0.0
21.229007 0.0
21.249007 0.0
21.269902 0.0
21.289905 0.0
21.309906 0.0
21.329906 0.0
21.349906 0.0
21.369906 0.0
21.389906 0.0
21.409906 0.0
21.429906 0.0
21.449906 0.0
21.469909 0.0
21.489911 0.0
21.509912 0.0
21.529916 0.0
21.549916 0.0
21.569917 0.0
21.589917 0.0
21.609922 0.0
21.629922 0.0
21.649922 0.0
21.669922 0.0
21.689922 0.0
21.709927 0.0
21.729927 0.0
21.749929 0.0
21.769932 0.0
21.789933 0.0
21.809938 0.0
21.829938 0.0
21.849942 0.0
21.869943 0.0
21.889943 0.0
21.909945 0.0
21.929948 0.0
21.949948 0.0
21.969949 0.0
21.989949 0.0
22.009949 0.0
22.049992 0.0
22.069997 0.0
22.09 0.0
22.110002 0.0
22.130005 0.0
22.150007 0.0
22.17001 0.0
22.190012 0.0
22.210012 0.0
22.230013 0.0
22.250018 0.0
22.270021 0.0
22.290023 0.0
22.310023 0.0
22.330026 0.0
22.350028 0.0
22.370028 0.0
22.390029 0.0
